Price_per_month,Agent,Beds,Baths,Size_m2,Details
110.000,Developpe Toi,1,1,15.00,Le quartier est bitumé et accessible. Une pièce de vie pour passer des moments spéciaux. Une cour avant. Une cour arrière. Une cuisine pour cuisiner des plats s...
240.000,Developpe Toi,2,2,15.00,Un appartement de 3 PCS situé dans un immeuble au deuxième étage. Un salon. Un balcon. Une cuisine. Deux chambres dont une autonome. Une douche visiteur. Des co...
150.000,WCE,3,3.5,250.00,"La villa se trouve dans le paisible quartier de la Riviera 3 non loin des Ẻcoles et Lycées Internationaux, Blaise Pascal, Jacques Prévert, Jean Mermoz et ICSA e..."
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,50.00,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE...
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,9.00,"Résidence Saphir Marcory dans la belle cité de Hibiscus une 2 pièces dans une cité calme, propre et sécurisée avec toutes les commodités. PRIX: 25.000 par jour..."
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,9.00,Résidence Saphir Marcory REMBLAIS derrière le YOTA avec wifi et un abonnement NETFLIX. PRIX: 25.000 par jour et Négociable pour long séjour. IK IMMOBILIER COTE...
1.500.000,IKIMMOBILIERCOTEDIVOIRE,5,3,300.00,Cocody Riviera 4. Cité Ciad Primo. Zone Ecole Libannaise. Une belle villa duplex d’un excellent standing. 6 Pieces: 1 Sejour/salle a manger 5 chambres aut...
1.500.000,IKIMMOBILIERCOTEDIVOIRE,5,2,350.00,MAISON VUE SUR LA MER A LOUER AVEC LES MEUBLES VILLA DUPLEX 7 PIÈCES • 2 chambres (lits King) • 2 chambres (lits Queen) • Vu sur la mer • 1 salon • 2 dépendance...
5.000.000,IKIMMOBILIERCOTEDIVOIRE,6,3,350.00,"Riviera Golf 4 Duplex de standing (7 pièces) super spacieux en location à COCODY Riviera Golf 4 dans un secteur hautement sécurisé et très résidentiel. Jardin,..."
250.000,Developpe Toi,2,3,150.00,Un quartier bitumé et accessible. Un appartement situé au deuxième étage d’un immeuble. Un salon. Un balcon. Une cuisine. Deux chambres autonomes. Une douche vi...
30.000,Developpe Toi,1,2,100.00,Une douche visiteur. Une chambre autonome. Un salon. Une cuisine. Un balcon. Des centres commerciaux. Une salle de sport dans le quartier. Des salons de coiffur...
1.500.000,Markoff,3,3,100.00,"[ A LOUER ] 🏢Nous mettons en location un appartement meublé de haut standing 4 pièces entièrement équipé, situé dans un immeuble avec ascenseur. ➡️ TV dans tout..."
70.000,Markoff,2,2,100.00,"[ A LOUER ] 🏢Nous mettons en location un appartement meublé 3 pièces entièrement équipé, situé dans un quartier sécurisé. ➡️ 1 Grand salon ➡️ 2 Chambres dont 1..."
800.000,IKIMMOBILIERCOTEDIVOIRE,4,2,150.00,Cocody Riviera 3. Cité Selmer. Une villa duplex de 5 pieces: 1 sejour/salle a manger. 4 chambres. Une Cour Avant et arriere. Une terrasses. Un Garages une place...
50.000,IKIMMOBILIERCOTEDIVOIRE,1,1,150.00,Résidence Meublée de 2 pièces située a Bietry avec une piscine commune et toutes les commodités. Prix Journalier: 50.000F Négociable pour long séjour. NB: La ré...
70.000,IKIMMOBILIERCOTEDIVOIRE,2,2,175.00,RIVIERA GOLF F3- 9è en résidence meublé parking privé-5 pers -2 chambres climatisées idéal pour moyens et longs séjours. familiale ou prof-ascenseur-terasse séc...
25.000,IKIMMOBILIERCOTEDIVOIRE,1,1,92.00,"RESIDENCE SAPHIR SITUE AU PETIT MARCHE DE MARCORY AVEC PARKING, ASCENSEUR, WIFI ET UN ABONNEMENT NETFLIX PRIX: 25000 NEGOCIABLE POUR LONG SEJOUR ☎️: 2734770473..."
20.000,IKIMMOBILIERCOTEDIVOIRE,1,1,92.00,RESIDENCE SAPHIR EBATHE SITUE A MARCORY EN FACE DE LA PHARMACIE EBATHE AVEC WIFI ET UN ABONNEMENT NETFLIX PRIX: 20.000 NEGOCIABLE POUR LONG SEJOUR.
2.500.000,Christelle TOURE,4,4,"1,000.00",Duplex de 05 pièces situé entre les 2 plateaux Vallons et Aghien : 01 séjour 01 cuisine 04 chambres dont une avec toilette externe 01 dépendance 01 guérite 01 j...
