Price,Agent,Beds,Baths,Size_m2,Details
222.000.000,Résidence Riviera ©,3,3,165.00,Appartement T4 vue ville au 3è étage de la RESIDENCE RIVIERA à la Riviera Bonoumin non loin de Abidjan Mall. cette résidence est dotée d’une piscine à débordeme...
150.000.000,Vinci-dsk holding ©,3,3,174.00,🚨🚨🚨 #BINGERVILLE /FREE WORLD HOTEL Nouvelle promotion immobilière dans une Mini cité de 8villas Duplex Haut standing (4 villas individuelles avec piscine ; 4 ap...
40.000.000,Agence G.CONSTRUCTION ©,3,3,134.00,"À 10 minutes d’Abidjan sur la nouvelle autoroute de Dabou, SONGON kessemble: Vous avez des villas basses 4 pièces bâti sur une surface totale de 230m2. Li..."
280.000.000,Charles Boga,4,4,300.00,PROMOTION IMMOBILIÈRE À BINGERVILLE FRED World Immobilier à la BINGERVILLE villas duplex 5 pièces de standing clés en main caractéristiques principales : 1 séjo...
420.000.000,Charles Boga,5,5,400.00,"Vente d, un Duplex de 7 pièces de haut standing à Cocody ANGRE Nouveau Chu( cité diaspora) La maison est composée 5 chambres autonomes,2 salons,une piscine, 2 c..."
160,Yasmine Kone,4,4,200.00,"l1 s’agit de la toute première réalisation d’un futur programme immobilier à Abidjan, à Cocody Angré CHU! Pour seulement 160 O00 000 FCFA (négociabl..."
500.000.000,Vinci-dsk holding ©,5,5,600.00,🚨🚨🚨 #RIVIERA4 M’BADON Villas duplex de 6 pièces sur 600 m2 avec grand jardin et piscine en vente à la Riviera M’badon dans une cité sécurisée. Prix de vente :50...
290.000.000,Vinci-dsk holding ©,4,4,350.00,#RIVIERA4 M’BADON 2 Villa triplex HAUT STANDING chacune comprenant 6pieces+piscine+jardin+cour+garage DISPONIBLE à la Riviera4 M’BADON . #EN FINITION #LIVRAISON...
à,Agence OMNICOM ©,N/A,N/A,33.00,VENEZ SOUSCRIRE A NOTRE PROGRAMME QUI A DÉJÀ DÉBUTÉ ET ACHETER VOTRE APPARTEMENT À PARTIR DE 11 MILLIONS DE FCA POUR LES STUDIOS. Soyez les premiers à réserver...
à,GROUPESANGA,3,2,200.00,"LE GROUPE SANGA, toujours en bonus de la nouvelle année. Venez massivement souscrire à LA PHASE 3 DU PROJET OCEAN 2 A MONDOUKOU. NOUS VOUS Y ATTENDONS…. S..."
800.000.000,,1,2,"2,998.00",un bâtiment R+1 de forme circulaire et un bâtiment annexe a simple rez de chaussée. Bat : R+1 -Rez de chaussée : (01) deux pièces contenant une terrasse couvert...
A,AUDREY NGANDI – BACID SA,4,3,120.00,"PROGRAMME 4 CITE CARAMBOLIER 150 LOGEMENTS SITUÉE A BINGEVILLE PRES DE LA CITE DES AGENTS DES IMPÔTS (RESA-FISC) QUARTIER NOUVELLE-VILLE AGOUAPI, LA CITE EST CO..."
