Price,Agent,Beds,Baths,Size_m2,Details
222.000.000,Résidence Riviera ©,3,3,165.00,Appartement T4 vue ville au 3è étage de la RESIDENCE RIVIERA à la Riviera Bonoumin non loin de Abidjan Mall. cette résidence est dotée d’une piscine à débordeme...
150.000.000,Vinci-dsk holding ©,3,3,174.00,🚨🚨🚨 #BINGERVILLE /FREE WORLD HOTEL Nouvelle promotion immobilière dans une Mini cité de 8villas Duplex Haut standing (4 villas individuelles avec piscine ; 4 ap...
300.000.000,Vinci-dsk holding ©,5,6,600.00,🚨🚨🚨 #BINGERVILLE /ANAN Grande et très belle villa type DUPLEX bâti sur 600m2 comprenant 7Pieces+2dependances+Piscine+jardin+cour et garage DISPONIBLE à Bingervi...
1.800.000.000,Vinci-dsk holding ©,6,5,"1,500.00",🚨🚨🚨 RIVIERA GOLF4 BEVERLY HILLS SOMPTUEUSE VILLA DUPLEX MODERNE DE 8 PIÈCES À COCODY RIVIÈRA GOLF 4 BEVERLY HILLS DANS UN BEAU CADRE CALME TRÈS PAISIBLE ⚠️VISIT...
280.000.000,Vinci-dsk holding ©,6,5,397.00,"🚨🚨🚨 #BASSAM/ROSIER PROGRAM ⚠️Nouvelle construction/jamais habiter DUPLEX MODERNE DE 9 PIÈCES+PISCINE+COUR ET GARAGE DISPONIBLE À GRAND BASSAM, ROSIER PROGRAMME..."
40.000.000,Agence G.CONSTRUCTION ©,3,3,134.00,"À 10 minutes d’Abidjan sur la nouvelle autoroute de Dabou, SONGON kessemble: Vous avez des villas basses 4 pièces bâti sur une surface totale de 230m2. Li..."
150.000.000,Ibrahim Ouattara,N/A,N/A,"10,000.00",10.000 M2 ( 1HA ) à vendre en plein centre ville de Bassam et en bordure de la lagune . Site situé situé à proximité du lycée de Bassam et de l’immeuble d...
Contactez,Ibrahim Ouattara,N/A,N/A,500.00,"LES AVANTAGES D’ACHETER SON TERRAIN DANS LE GRAND ABIDJAN Le Grand Abidjan, c’est d’abord les dix communes d’origine d’Abidjan et désormais plusieurs villes pro..."
80.000.000,Ibrahim Ouattara,N/A,N/A,910.00,"Propriétaire vend en urgence 2 lots collés de 455m2 x2 ( 910 m2) à l’ autoroute de Grand Bassam après le péage à droite, dans le dos de l’entreprise TATA..."
2.500.000,ANNICKIMMOBILIER,1,1,600.00,Nous mettons à votre disposition plusieurs lots de 600m² situé à Yamoussoukro Kami cité plateau après la cité de la BCEAO Ce sont des terrains approuvés avec at...
17.000.000,ANNICKIMMOBILIER,1,1,"1,480.00",KAMI HUABO après le CAFOP et à proximité d’une université privée et le futur campus PIGIER CI. Terrain situé en BORDURE DU GOUDRON Document à l’acha...
85.000.000,ANNICKIMMOBILIER,1,1,"1,800.00",Nous mettons à votre disposition à Yamoussoukro un lot TRÈS BIEN placé au 227 logement. En face de la police scientifique juste à côté de L’INPHB sud le t...
355.000.000,Konate Assita,3,3,220.00,"Charmante Villa moderne avec piscine comprenant : salon, salle à manger, 3 chambres dont une master avec dressingroom, cuisine européenne, cuisine africaine, 3..."
70.000.000,ANNICKIMMOBILIER,1,1,"2,000.00","Un terrain très bien situé en vente à Yamoussoukro sur l’alignement du stade, ce terrain est placé en bordure de voie bitumé, il est à 300 m du stade et p..."
500.000.000,IKIMMOBILIERCOTEDIVOIRE,5,3,300.00,Urgent Urgent Urgent. Vente Rapide Rapide. Cocody Riviera 2 non loin de l’école André Malraux. -Une Villa Duplex de 7 pièces. -Deux cuisines africaine et...
85.000.000,IKIMMOBILIERCOTEDIVOIRE,4,2,350.00,CADEAUX 2024 CADEAUX 2024 BINGERVILLE PRÊT DU NOUVEAU PALAIS DE JUSTICE CARREFOUR CITÉ TRÉSOR DUPLEX 6 PIÈCES PRET A HABITER LIVRAISON EXCLUSIVEMENT CLE EN MAIN...
15.000.000,ANNICKIMMOBILIER,1,1,874.00,Nous mettons à votre disposition un terrain très bien placé à l’angle des rues à Yamoussoukro dans le lotissement approuvé lomo basilique. Le document dél...
2.000.000.000,ANNICKIMMOBILIER,60,60,"2,125.00",TRES MAGNIFIQUE IMMEUBLE EN VENTE YAMOUSSOUKRO _Vente à Yamoussoukro quartier millionnaire plusieurs Appartements Bâti sur 2125M2 DOC : ACD Répartir : 15 appart...
275.000.000,Christelle TOURE,1,1,567.00,EN VENTE ABIDJAN COCODY RIVIERA 4 Terrain nu de 567 m² en vente à la Riviera 4 cité Verdoyante Document administratif : ACD Délai de livraison : immédiate Prix...
