Company Name,Website Link,update_link,scrape,comments
AICI (AGENCE INTERNATIONALE DE COMMERCIALISATION IMMOBILIERE),http:\/\/www.aici.ci,https://aici.ci/fr,1,
AKIDOM IMMOBILIER,https:\/\/www.akidomimmo.com\/,https://www.akidomimmo.com//,1,
TSCI IMMOBILIER GROUP (TOUS SERVICES COMPANY IMMOBILIERE GROUP),https:\/\/ts-ci.com\/,https://ts-ci.com/,1,
GROUPE EZIP SARL,https:\/\/www.ezipimmo.com\/,https://www.ezipimmo.com/,1,
A2K IMMOBILIER,http:\/\/www.a2kimmobilier.ci,https://www.a2kimmobilier.ci/,1,
EBI GROUP,https:\/\/ebi-group.ci\/,,0,site de btp et de gestion de bien. Ne propose pas de vente
LE NEGOCIATEUR IMMOBILIER,https:\/\/www.lenegociateurimmobilier.ci\/vente,https://www.lenegociateurimmobilier.ci/nos-offres,1,
OPTIMUM IMMOBILIER,https:\/\/optimum-immo-abidjan.com\/,https://www.officielimmobilier.net/tous-les-biens,1,different website name
PROPERTY IMMOBILIER,http:\/\/www.property-immobilier.net,,0,no listings on website
SANDRA K IMMOBILIER ET SERVICES,https:\/\/sandrakimmo.com\/,https://sandrakimmo.com/maisons,1,
SOGETIM (SOCIETE DE GESTION ET DE TRANSACTION IMMOBILIERE),https:\/\/sogetim.wordpress.com\/,,0,
YEMINI SERVICES,https:\/\/www.yeminiservices.com,,0,residence meublee
AFRIMMO Sarl,http:\/\/www.afrimmo-ci.com,,0,no listings on website
EKO IMMOBILIER HOLDING,https:\/\/eko-immobilier.com\/,,0,no listings on website
AGIM-CI,https:\/\/agim-ci.com\/,,0,no pricing
ADDOHA COTE D'IVOIRE,https:\/\/addoha.ci\/,,0,no pricing
AGEMA (ASSISTANCE GESTION MARKETING),http:\/\/www.agema-immobilier.com,,0,non existant site
AGIRE GROUP,http:\/\/www.agiregroup.com,,0,"gestion de bien, pas vente"
ALERTE-FONCIER SARL,http:\/\/www.alertefoncier.ci,,0,no listings on website
ALLIANCES COTE D'IVOIRE,http:\/\/www.alliances.co.ma,,0,innacessible
ALLO IMMO,http:\/\/alloimmo.ci\/,,0,innacessible
ARCHE ENTREPRISE GROUP,https:\/\/arche-enterprisegroup.com,,0,innacessible
ASCA IMMOBILIER & SERVICES,https:\/\/www.ascaimmoserv.com\/fr\/,,0,no listings on website
ASSOSERVICES,https:\/\/www.assoservices.ci\/,,0,non existant site
AYUF Sarl,http:\/\/www.ayuf.net,,0,no listings on website
B.COM.S,http:\/\/bcoms.pro\/#,,0,non existant site
BAFCI IMMOBILIER SERVICES,https:\/\/www.bafci.ci\/?fbclid=IwAR0HUuGuCXGPy-vF5-R59saeDBTU4-45eOB-fNg-UL6-OBq_OnFXpuegwrs,,0,not real estate agency
BATIM COTE D'IVOIRE,http:\/\/www.batim.com,,0,website in construction
BATIRICI,http:\/\/batirici-immobilier.com,,1,
BEREKIA SARL,https:\/\/www.berekiaci.com\/,,0,non existant site
BINKO ET ASSOCIES,http:\/\/www.binkoassocies.com\/,,0,residence meublee
BITE Sarl (BUILDING AND INNOVATION TECHNOLOGY ENTERPRISE),http:\/\/www.biteci.com,,0,non existant site
BOYOOT IMMOBILIER,https:\/\/www.boyootimmobilier.com\/,,0,no pricing
BR IMMOBILIER,http:\/\/www.br-immobilier.ci,,0,no listings on website
BRANDON ET MCAIN,http:\/\/www.brandonmcain.com,,0,innacessible
BYRA COMPANY,https:\/\/byracompany.com\/,,0,no listings on website
CABINET JULYS,http:\/\/www.semi-immobilier.com,,0,innacessible
CAROLINE IMMOBILIER,http:\/\/www.carolineimmo.com,,0,no pricing
CEGEX IMMOBILIER,http:\/\/www.cegeximmo.com,,0,no listings on website
CH-AFRICA (CABINET HOMELAND AFRICA),http:\/\/www.ch-africa.com,,0,innacessible
COBAGEC SARL,http:\/\/www.cobagec.com\/,,0,not real estate agency
DAMAC (KOFIDIS-HOLDING S.A),http:\/\/www.damacproperties.com,,0,no listings on website
DG BAT 7,https:\/\/dgbat7.com\/,,0,residence meublee
DIEZ IMMOBILIER,https:\/\/diezconnection.com\/,,0,no listings on website
EICS (ENTREPRISE IVOIRIENNE DE CONSTRUCTION ET DE SERVICES),http:\/\/www.eics.ci,,0,no listings on website
EOX-CI,http:\/\/eoxci-nouvelle.com\/,,0,innacessible
ESKIMMO IMMOBILIER,https:\/\/agisarl.com\/eskimmo,,0,not real estate agency
ETRASEF SARL,http:\/\/www.etrasef.com,,0,innacessible
EYO CONSTRUCTION,http:\/\/www.eyosarl.com,,0,no listings on website
FINESSE IMMOBILIER,https:\/\/finesseimmobilier.com\/,https://finesseimmobilier.com/property/,1,
FirstClass Immobilier,http:\/\/www.firstclassimmo.com,,0,no listings on website
GEM IMMOBILIER,http:\/\/www.gem-immobilier.info\/,https://www.gem-immobilier.info/offres.php?service=2,1,
GESTIMO-CI,https:\/\/www.agestimo-ci.com,https://www.agestimo-ci.com/AllVente,1,
GF ENTREPRISES,http:\/\/www.gfentreprises.com,,0,
GLORY IPACT GROUP,https:\/\/www.gloryimpactgroup.org\/,,0,innacessible
GOLD SERVICES SARL,http:\/\/www.property-immobilier.net,,0,no listings on website
GRCI (GESTION RATIONNELLE EN COTE D'IVOIRE),http:\/\/www.grci.ci,,0,innacessible
Groupe Eden Afrique Holding - GEA-H (Gea-Holding Sa),http:\/\/gea-holding.ci,,0,no listings on website
H & A PROPERTIES,http:\/\/www.ha-properties.com,https://www.ha-properties.com/vente,1,
HBND ELITE IMMOBILIER,https:\/\/www.hbnd-eliteimmobilier.com\/,,0,not real estate agency
HESTIA IMMOBILIER,https:\/\/www.hestia-ci.com,,0,not real estate agency
HOME IMMOBILIER SERVICE,https:\/\/hisagence.com\/,,0,residence meublee
HOUSE PARTNERS,https:\/\/housepartners-ci.com\/,,0,innacessible
IMCCI (IMMOBILIERE CONSEIL DE COTE D'IVOIRE),http:\/\/agenceimcci.com,,0,no listings on website
IMMO-GM,http:\/\/www.immogm.com,,0,no listings on website
IMMOBILIER IVOIRE,http:\/\/www.immobilier-ivoire.com,,0,innacessible
IMMOBILIER LCI,http:\/\/www.immobilier-lci.com,,0,innacessible
IMMOBILIER PLUS,http:\/\/www.immobilier-plus.net,https://www.immobilier-plus.net/ventes,1,
IMOFORSE,https:\/\/imoforse.com\/,,0,innacessible
INGENIERIX IMMOBILIER,https:\/\/ingenierix-ci.com\/?fbclid=IwAR0sK6KFZobEbSG7PNjkvEpLpC7aTsVlXzGJd1GftZ0Y--8noFLhYOKkHDs,https://ingenierix-ci.com/offres-immobilieres/,1,
INOOVIM - GROUPE KAYDAN,http:\/\/citecallisto-bnetd.com,,0,not real estate agency
INTER IMMOBILIER-CI (IICI),http:\/\/www.interimmobilier.ci\/,,0,innacessible
INTERCONFIMO,https:\/\/www.interconfimo.com\/,,0,website in construction
INTERNATIONAL IMMOBILIER HOLDING,https:\/\/ich-ci.com\/,,0,innacessible
IREA IMMOBILIER (INTERNATIONAL REAL ESTATE AGENCY),https:\/\/www.ireaconseils.com\/,,0,innacessible
